Timestamp,Environment,Camera_Count,Resolution,Target_FPS,Motion_Factor,Total_CPU,Core0_CPU,Core1_CPU,Core2_CPU,Core3_CPU,RAM_Used_MB,SoC_Temp,CPU_Freq,Throttled_State,IO_Wait,Actual_FPS,Drops
2026-07-07 14:17:13,unknown,1,160x120,30,0,24.5,41.6,18.3,13.9,20.8,3043.5,55.02,1800.0,throttled=0x0,0.0,0.0,216
2026-07-07 14:17:14,unknown,1,160x120,30,0,22.1,27.8,18.4,22.3,18.6,3043.8,55.99,1800.0,throttled=0x0,0.0,0.0,217
2026-07-07 14:17:15,unknown,1,160x120,30,0,24.4,26.5,20.4,21.6,30.1,3044.1,55.5,1800.0,throttled=0x0,0.0,0.0,218
2026-07-07 14:17:16,unknown,1,160x120,30,0,25.1,26.3,22.4,27.4,25.0,3045.4,54.53,1800.0,throttled=0x0,0.0,0.0,219
2026-07-07 14:17:17,unknown,1,160x120,30,0,21.6,25.0,22.1,21.0,16.8,3045.5,55.99,1800.0,throttled=0x0,0.0,0.0,220
2026-07-07 14:17:18,unknown,1,160x120,30,0,21.1,23.2,18.3,22.3,21.0,3045.5,55.02,1800.0,throttled=0x0,0.0,0.0,221
2026-07-07 14:17:19,unknown,1,160x120,30,0,20.7,25.0,16.7,21.9,18.8,3045.6,55.5,1800.0,throttled=0x0,0.0,0.0,222
2026-07-07 14:17:21,unknown,1,160x120,30,0,23.8,30.3,24.1,21.7,20.8,3046.1,55.5,1800.0,throttled=0x0,0.0,0.0,223
2026-07-07 14:17:22,unknown,1,160x120,30,0,20.2,23.7,20.0,17.5,18.4,3046.3,55.5,1800.0,throttled=0x0,0.0,0.0,224
2026-07-07 14:17:23,unknown,1,160x120,30,0,23.6,29.4,23.6,21.0,21.3,3046.3,55.99,1800.0,throttled=0x0,0.0,0.0,225
2026-07-07 14:17:24,unknown,1,160x120,30,0,23.5,33.9,21.4,19.6,18.3,3045.5,55.99,1800.0,throttled=0x0,0.0,0.0,226
2026-07-07 14:17:25,unknown,1,160x120,30,0,24.1,31.4,20.4,19.2,25.7,3045.8,55.99,1800.0,throttled=0x0,0.0,0.0,227
2026-07-07 14:17:26,unknown,1,160x120,30,0,26.5,27.5,26.7,27.8,24.5,3045.7,55.5,1800.0,throttled=0x0,0.0,0.0,228
2026-07-07 14:17:27,unknown,1,160x120,30,0,21.8,31.4,16.3,20.0,22.9,3045.7,55.02,1800.0,throttled=0x0,0.0,0.0,229
2026-07-07 14:17:28,unknown,1,160x120,30,0,23.5,30.0,17.8,22.9,19.6,3045.5,56.48,1800.0,throttled=0x0,0.2,0.0,230
2026-07-07 14:17:29,unknown,1,160x120,30,0,28.6,34.7,18.8,41.5,20.4,3045.4,55.02,1800.0,throttled=0x0,0.0,0.0,231
2026-07-07 14:17:30,unknown,1,160x120,30,0,19.8,25.0,21.7,14.9,18.3,3045.4,56.48,1800.0,throttled=0x0,0.0,0.0,232
2026-07-07 14:17:31,unknown,1,160x120,30,0,23.7,25.8,23.1,22.2,23.6,3048.3,55.02,1800.0,throttled=0x0,0.0,0.0,233
2026-07-07 14:17:32,unknown,1,160x120,30,0,20.5,23.7,17.3,21.7,19.0,3048.3,55.02,1800.0,throttled=0x0,0.0,0.0,234
2026-07-07 14:17:33,unknown,1,160x120,30,0,22.2,26.5,22.1,18.3,21.4,3048.8,55.5,1800.0,throttled=0x0,0.0,0.0,235
2026-07-07 14:17:34,unknown,1,160x120,30,0,21.4,32.7,15.5,21.7,19.8,3049.1,55.5,1800.0,throttled=0x0,0.0,0.0,236
2026-07-07 14:17:35,unknown,1,160x120,30,0,23.9,32.3,24.3,20.4,16.7,3051.6,56.48,1800.0,throttled=0x0,0.0,0.0,237
2026-07-07 14:17:36,unknown,1,160x120,30,0,21.9,23.5,24.0,16.7,25.0,3051.2,55.99,1800.0,throttled=0x0,0.0,0.0,238
2026-07-07 14:17:37,unknown,1,160x120,30,0,21.0,20.8,26.0,14.9,20.8,3050.7,56.97,1800.0,throttled=0x0,0.0,0.0,239
2026-07-07 14:17:39,unknown,1,160x120,30,0,22.5,31.1,18.3,18.3,22.3,3050.0,56.48,1800.0,throttled=0x0,0.0,0.0,240
2026-07-07 14:17:40,unknown,1,160x120,30,0,20.6,25.5,20.0,17.5,20.2,3049.9,55.02,1800.0,throttled=0x0,0.0,0.0,241
2026-07-07 14:17:41,unknown,1,160x120,30,0,27.8,40.0,22.1,22.1,23.8,3049.5,55.02,1800.0,throttled=0x0,0.0,0.0,242
2026-07-07 14:17:42,unknown,1,160x120,30,0,26.1,42.6,18.7,23.3,16.7,3049.9,55.99,1800.0,throttled=0x0,0.0,0.0,243
2026-07-07 14:17:43,unknown,1,160x120,30,0,19.6,24.8,12.9,18.3,21.7,3049.9,55.99,1800.0,throttled=0x0,0.0,0.0,244
2026-07-07 14:17:44,unknown,1,160x120,30,0,36.5,39.0,35.2,39.4,33.0,3049.6,55.99,1800.0,throttled=0x0,0.0,0.0,245
2026-07-07 14:17:45,unknown,1,160x120,30,0,52.8,65.8,46.0,52.8,47.5,3025.3,55.99,1800.0,throttled=0x0,1.7,0.0,246
2026-07-07 14:17:46,unknown,1,160x120,30,0,22.3,24.0,21.9,21.4,21.9,3026.1,55.5,1800.0,throttled=0x0,0.0,0.0,247
2026-07-07 14:17:47,unknown,1,160x120,30,0,49.5,53.0,49.5,44.7,50.0,3009.3,56.48,1800.0,throttled=0x0,0.0,0.0,248
2026-07-07 14:17:48,unknown,1,160x120,30,0,19.0,31.7,13.5,16.5,15.8,3009.4,55.99,1800.0,throttled=0x0,0.0,0.0,249
2026-07-07 14:17:49,unknown,1,160x120,30,0,26.7,30.6,26.0,25.2,26.2,3007.6,55.99,1800.0,throttled=0x0,0.0,0.0,250
2026-07-07 14:17:50,unknown,1,160x120,30,0,22.9,29.4,17.0,21.2,23.3,3008.3,55.02,1800.0,throttled=0x0,0.0,0.0,251
2026-07-07 14:17:51,unknown,1,160x120,30,0,20.7,24.2,17.5,20.2,21.2,3007.6,55.02,1800.0,throttled=0x0,0.2,0.0,252
2026-07-07 14:17:52,unknown,1,160x120,30,0,20.6,22.2,21.7,18.4,19.4,3007.5,55.99,1800.0,throttled=0x0,0.0,0.0,253
2026-07-07 14:17:54,unknown,1,160x120,30,0,21.4,22.0,21.9,16.0,25.5,3006.4,55.02,1800.0,throttled=0x0,0.0,0.0,254
2026-07-07 14:17:55,unknown,1,160x120,30,0,21.5,24.0,19.6,20.4,21.9,3006.4,56.48,1800.0,throttled=0x0,0.0,0.0,255
2026-07-07 14:17:56,unknown,1,160x120,30,0,23.3,26.3,19.6,23.8,24.3,3007.1,55.5,1800.0,throttled=0x0,0.0,0.0,256
2026-07-07 14:17:57,unknown,1,160x120,30,0,20.5,22.4,20.4,15.8,21.2,3006.7,55.5,1800.0,throttled=0x0,0.0,0.0,257
2026-07-07 14:17:58,unknown,1,160x120,30,0,21.0,25.5,19.0,16.2,24.0,3006.1,55.99,1800.0,throttled=0x0,0.0,0.0,258
2026-07-07 14:17:59,unknown,1,160x120,30,0,24.3,29.1,22.3,24.3,22.3,3006.5,55.5,1800.0,throttled=0x0,0.2,0.0,259
2026-07-07 14:18:00,unknown,1,160x120,30,0,36.2,39.4,40.8,31.4,32.4,3009.5,56.48,1800.0,throttled=0x0,0.0,0.0,260
2026-07-07 14:18:01,unknown,1,160x120,30,0,24.6,27.7,21.9,24.3,26.6,3015.9,55.5,1800.0,throttled=0x0,0.0,0.0,261
2026-07-07 14:18:02,unknown,1,160x120,30,0,19.5,20.8,16.5,23.3,16.5,3016.1,55.99,1800.0,throttled=0x0,0.0,0.0,262
2026-07-07 14:18:03,unknown,1,160x120,30,0,18.5,23.7,19.2,15.7,15.8,3016.1,55.5,1800.0,throttled=0x0,0.0,0.0,263
2026-07-07 14:18:04,unknown,1,160x120,30,0,19.7,21.4,15.8,22.3,18.3,3016.6,55.5,1800.0,throttled=0x0,0.0,0.0,264
2026-07-07 14:18:05,unknown,1,160x120,30,0,21.0,22.4,19.4,22.9,20.8,3016.6,55.5,1800.0,throttled=0x0,0.5,0.0,265
2026-07-07 14:18:06,unknown,1,160x120,30,0,21.3,25.3,19.6,23.5,17.5,3018.1,55.5,1800.0,throttled=0x0,0.0,0.0,266
2026-07-07 14:18:07,unknown,1,160x120,30,0,19.5,28.3,13.7,19.2,16.2,3017.9,55.02,1800.0,throttled=0x0,0.0,0.0,267
2026-07-07 14:18:08,unknown,1,160x120,30,0,21.1,20.4,19.8,21.8,21.8,3016.0,55.5,1800.0,throttled=0x0,0.0,0.0,268
2026-07-07 14:18:09,unknown,1,160x120,30,0,43.3,45.0,43.9,37.2,47.0,3007.6,56.48,1800.0,throttled=0x0,0.0,0.0,269
2026-07-07 14:18:10,unknown,1,160x120,30,0,33.3,46.2,23.3,28.0,33.0,3007.7,56.48,1800.0,throttled=0x0,0.2,0.0,270
2026-07-07 14:18:12,unknown,1,160x120,30,0,23.3,32.1,21.2,20.8,18.1,3008.2,55.5,1800.0,throttled=0x0,0.0,0.0,271
2026-07-07 14:18:13,unknown,1,160x120,30,0,19.0,20.0,22.1,18.0,14.0,3008.1,55.5,1800.0,throttled=0x0,0.0,0.0,272
2026-07-07 14:18:14,unknown,1,160x120,30,0,39.8,29.0,48.5,46.7,35.5,3008.8,55.5,1800.0,throttled=0x0,0.0,0.0,273
2026-07-07 14:18:15,unknown,1,160x120,30,0,20.1,25.0,18.4,17.6,18.6,3008.9,56.48,1800.0,throttled=0x0,0.0,0.0,274
2026-07-07 14:18:16,unknown,1,160x120,30,0,23.5,27.1,21.4,20.6,25.2,3009.6,56.48,1800.0,throttled=0x0,0.0,0.0,275
2026-07-07 14:18:17,unknown,1,160x120,30,0,23.8,22.9,25.5,23.1,24.0,3009.1,55.5,1800.0,throttled=0x0,0.2,0.0,276
2026-07-07 14:18:18,unknown,1,160x120,30,0,19.7,23.2,17.6,19.4,18.4,3009.6,56.48,1800.0,throttled=0x0,0.0,0.0,277
2026-07-07 14:18:19,unknown,1,160x120,30,0,20.0,26.3,18.6,18.4,17.3,3009.6,55.02,1800.0,throttled=0x0,0.0,0.0,278
2026-07-07 14:18:20,unknown,1,160x120,30,0,19.8,23.0,19.8,16.8,19.6,3009.6,55.02,1800.0,throttled=0x0,0.0,0.0,279
2026-07-07 14:18:21,unknown,1,160x120,30,0,22.9,24.7,29.0,17.6,17.6,3011.1,54.53,1800.0,throttled=0x0,0.0,0.0,280
2026-07-07 14:18:22,unknown,1,160x120,30,0,19.1,23.6,23.1,16.5,14.6,3011.3,55.5,1800.0,throttled=0x0,0.0,0.0,281
2026-07-07 14:18:23,unknown,1,160x120,30,0,18.7,26.9,12.1,18.4,17.0,3010.8,55.5,1800.0,throttled=0x0,0.0,0.0,282
2026-07-07 14:18:24,unknown,1,160x120,30,0,19.7,23.0,19.0,17.3,20.4,3010.3,55.99,1800.0,throttled=0x0,0.0,0.0,283
2026-07-07 14:18:25,unknown,1,160x120,30,0,20.0,20.4,21.2,16.0,22.5,3009.7,55.5,1800.0,throttled=0x0,0.2,0.0,284
2026-07-07 14:18:26,unknown,1,160x120,30,0,23.6,23.2,23.1,21.4,25.0,3009.5,55.02,1800.0,throttled=0x0,0.0,0.0,285
2026-07-07 14:18:27,unknown,1,160x120,30,0,21.6,25.5,20.0,20.8,22.1,3009.4,55.5,1800.0,throttled=0x0,0.0,0.0,286
2026-07-07 14:18:28,unknown,1,160x120,30,0,24.5,23.8,25.0,25.7,22.9,3009.3,55.99,1800.0,throttled=0x0,0.0,0.0,287
2026-07-07 14:18:29,unknown,1,160x120,30,0,30.2,31.0,34.0,31.1,24.3,2999.8,55.02,1800.0,throttled=0x0,0.0,0.0,288
2026-07-07 14:18:30,unknown,1,160x120,30,0,22.6,24.2,23.1,23.5,20.2,2999.6,55.5,1800.0,throttled=0x0,0.0,0.0,289
2026-07-07 14:18:31,unknown,1,160x120,30,0,25.1,30.3,24.0,24.0,22.3,2999.9,56.48,1800.0,throttled=0x0,0.0,0.0,290
2026-07-07 14:18:33,unknown,1,160x120,30,0,19.3,22.2,20.2,21.4,13.6,2999.7,55.5,1800.0,throttled=0x0,0.0,0.0,291
2026-07-07 14:18:34,unknown,1,160x120,30,0,18.4,19.8,17.3,20.0,16.7,2999.7,55.99,1800.0,throttled=0x0,0.0,0.0,292
2026-07-07 14:18:35,unknown,1,160x120,30,0,19.6,18.8,17.5,16.7,24.3,3000.5,55.02,1800.0,throttled=0x0,0.2,0.0,293
2026-07-07 14:18:36,unknown,1,160x120,30,0,22.7,26.5,22.1,20.8,22.5,3003.0,55.02,1800.0,throttled=0x0,0.0,0.0,294
2026-07-07 14:18:37,unknown,1,160x120,30,0,21.9,26.0,18.4,24.8,17.6,3002.9,55.99,1800.0,throttled=0x0,0.0,0.0,295
